EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 SS   : Sunshine in 0.1 Hours
30-34 Q_SS : quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132728) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   SS, Q_SS
  4970,132728,19620501,  127,    0
  4970,132728,19620502,   65,    0
  4970,132728,19620503,   91,    0
  4970,132728,19620504,    5,    0
  4970,132728,19620505,   56,    0
  4970,132728,19620506,    0,    0
  4970,132728,19620507,   81,    0
  4970,132728,19620508,   32,    0
  4970,132728,19620509,   13,    0
  4970,132728,19620510,   90,    0
  4970,132728,19620511,   73,    0
  4970,132728,19620512,   55,    0
  4970,132728,19620513,   39,    0
  4970,132728,19620514,   15,    0
  4970,132728,19620515,    0,    0
  4970,132728,19620516,   60,    0
  4970,132728,19620517,   13,    0
  4970,132728,19620518,   87,    0
  4970,132728,19620519,   60,    0
  4970,132728,19620520,  108,    0
  4970,132728,19620521,   24,    0
  4970,132728,19620522,    6,    0
  4970,132728,19620523,   66,    0
  4970,132728,19620524,   62,    0
  4970,132728,19620525,   64,    0
  4970,132728,19620526,   15,    0
  4970,132728,19620527,   51,    0
  4970,132728,19620528,   43,    0
  4970,132728,19620529,   75,    0
  4970,132728,19620530,   68,    0
  4970,132728,19620531,  111,    0
  4970,132728,19620601,   24,    0
  4970,132728,19620602,  125,    0
  4970,132728,19620603,  113,    0
  4970,132728,19620604,  138,    0
  4970,132728,19620605,  130,    0
  4970,132728,19620606,  121,    0
  4970,132728,19620607,  135,    0
  4970,132728,19620608,  123,    0
  4970,132728,19620609,  141,    0
  4970,132728,19620610,  121,    0
  4970,132728,19620611,   17,    0
  4970,132728,19620612,   21,    0
  4970,132728,19620613,   97,    0
  4970,132728,19620614,  136,    0
  4970,132728,19620615,  101,    0
  4970,132728,19620616,  103,    0
  4970,132728,19620617,   67,    0
  4970,132728,19620618,   77,    0
  4970,132728,19620619,   87,    0
  4970,132728,19620620,   48,    0
  4970,132728,19620621,   42,    0
  4970,132728,19620622,  120,    0
  4970,132728,19620623,  140,    0
  4970,132728,19620624,  123,    0
  4970,132728,19620625,  106,    0
  4970,132728,19620626,  125,    0
  4970,132728,19620627,   33,    0
  4970,132728,19620628,   16,    0
  4970,132728,19620629,   67,    0
  4970,132728,19620630,   18,    0
  4970,132728,19620701,    0,    0
  4970,132728,19620702,    4,    0
  4970,132728,19620703,    2,    0
  4970,132728,19620704,   19,    0
  4970,132728,19620705,   25,    0
  4970,132728,19620706,   19,    0
  4970,132728,19620707,   42,    0
  4970,132728,19620708,  128,    0
  4970,132728,19620709,  109,    0
  4970,132728,19620710,   78,    0
  4970,132728,19620711,  110,    0
  4970,132728,19620712,   38,    0
  4970,132728,19620713,   13,    0
  4970,132728,19620714,   15,    0
  4970,132728,19620715,   37,    0
  4970,132728,19620716,   12,    0
  4970,132728,19620717,   88,    0
  4970,132728,19620718,   97,    0
  4970,132728,19620719,   40,    0
  4970,132728,19620720,   42,    0
  4970,132728,19620721,   32,    0
  4970,132728,19620722,  113,    0
  4970,132728,19620723,  100,    0
  4970,132728,19620724,  135,    0
  4970,132728,19620725,  117,    0
  4970,132728,19620726,   81,    0
  4970,132728,19620727,   94,    0
  4970,132728,19620728,   53,    0
  4970,132728,19620729,   95,    0
  4970,132728,19620730,  109,    0
  4970,132728,19620731,   97,    0
  4970,132728,19620801,  121,    0
  4970,132728,19620802,   97,    0
  4970,132728,19620803,   75,    0
  4970,132728,19620804,   67,    0
  4970,132728,19620805,   19,    0
  4970,132728,19620806,   38,    0
  4970,132728,19620807,   64,    0
  4970,132728,19620808,  110,    0
  4970,132728,19620809,  120,    0
  4970,132728,19620810,   23,    0
  4970,132728,19620811,   92,    0
  4970,132728,19620812,  134,    0
  4970,132728,19620813,  104,    0
  4970,132728,19620814,   50,    0
  4970,132728,19620815,   78,    0
  4970,132728,19620816,   29,    0
  4970,132728,19620817,   35,    0
  4970,132728,19620818,   73,    0
  4970,132728,19620819,  123,    0
  4970,132728,19620820,  119,    0
  4970,132728,19620821,   67,    0
  4970,132728,19620822,   76,    0
  4970,132728,19620823,   83,    0
  4970,132728,19620824,   12,    0
  4970,132728,19620825,   54,    0
  4970,132728,19620826,  123,    0
  4970,132728,19620827,   95,    0
  4970,132728,19620828,   65,    0
  4970,132728,19620829,   52,    0
  4970,132728,19620830,  131,    0
  4970,132728,19620831,  121,    0
  4970,132728,19620901,  129,    0
  4970,132728,19620902,  118,    0
  4970,132728,19620903,  105,    0
  4970,132728,19620904,    0,    0
  4970,132728,19620905,   68,    0
  4970,132728,19620906,    3,    0
  4970,132728,19620907,   40,    0
  4970,132728,19620908,   50,    0
  4970,132728,19620909,  120,    0
  4970,132728,19620910,  103,    0
  4970,132728,19620911,   32,    0
  4970,132728,19620912,   93,    0
  4970,132728,19620913,   18,    0
  4970,132728,19620914,  115,    0
  4970,132728,19620915,   86,    0
  4970,132728,19620916,    9,    0
  4970,132728,19620917,   48,    0
  4970,132728,19620918,    8,    0
  4970,132728,19620919,    0,    0
  4970,132728,19620920,   24,    0
  4970,132728,19620921,   39,    0
  4970,132728,19620922,    0,    0
  4970,132728,19620923,    0,    0
  4970,132728,19620924,   64,    0
  4970,132728,19620925,   87,    0
  4970,132728,19620926,   58,    0
  4970,132728,19620927,    0,    0
  4970,132728,19620928,    0,    0
  4970,132728,19620929,   49,    0
  4970,132728,19620930,   71,    0
  4970,132728,19621001,   82,    0
  4970,132728,19621002,  110,    0
  4970,132728,19621003,   87,    0
  4970,132728,19621004,   33,    0
  4970,132728,19621005,   93,    0
  4970,132728,19621006,   61,    0
  4970,132728,19621007,   99,    0
  4970,132728,19621008,   86,    0
  4970,132728,19621009,   98,    0
  4970,132728,19621010,   98,    0
  4970,132728,19621011,   95,    0
  4970,132728,19621012,   90,    0
  4970,132728,19621013,   79,    0
  4970,132728,19621014,   10,    0
  4970,132728,19621015,   36,    0
  4970,132728,19621016,   98,    0
  4970,132728,19621017,   63,    0
  4970,132728,19621018,   92,    0
  4970,132728,19621019,   36,    0
  4970,132728,19621020,    0,    0
  4970,132728,19621021,   96,    0
  4970,132728,19621022,   97,    0
  4970,132728,19621023,   65,    0
  4970,132728,19621024,   44,    0
  4970,132728,19621025,    0,    0
  4970,132728,19621026,   54,    0
  4970,132728,19621027,    0,    0
  4970,132728,19621028,    0,    0
  4970,132728,19621029,    7,    0
  4970,132728,19621030,    5,    0
  4970,132728,19621031,   26,    0
  4970,132728,19621101,    0,    0
  4970,132728,19621102,   74,    0
  4970,132728,19621103,   25,    0
  4970,132728,19621104,   64,    0
  4970,132728,19621105,   42,    0
  4970,132728,19621106,   34,    0
  4970,132728,19621107,   29,    0
  4970,132728,19621108,    1,    0
  4970,132728,19621109,    2,    0
  4970,132728,19621110,    0,    0
  4970,132728,19621111,    0,    0
  4970,132728,19621112,    0,    0
  4970,132728,19621113,    0,    0
  4970,132728,19621114,   58,    0
  4970,132728,19621115,    9,    0
  4970,132728,19621116,   21,    0
  4970,132728,19621117,   13,    0
  4970,132728,19621118,    0,    0
  4970,132728,19621119,   25,    0
  4970,132728,19621120,   45,    0
  4970,132728,19621121,    0,    0
  4970,132728,19621122,   41,    0
  4970,132728,19621123,    0,    0
  4970,132728,19621124,    0,    0
  4970,132728,19621125,   52,    0
  4970,132728,19621126,    0,    0
  4970,132728,19621127,    7,    0
  4970,132728,19621128,    0,    0
  4970,132728,19621129,    0,    0
  4970,132728,19621130,    0,    0
  4970,132728,19621201,   53,    0
  4970,132728,19621202,   76,    0
  4970,132728,19621203,   77,    0
  4970,132728,19621204,   77,    0
  4970,132728,19621205,   78,    0
  4970,132728,19621206,   76,    0
  4970,132728,19621207,   75,    0
  4970,132728,19621208,   70,    0
  4970,132728,19621209,    0,    0
  4970,132728,19621210,    5,    0
  4970,132728,19621211,    0,    0
  4970,132728,19621212,    0,    0
  4970,132728,19621213,    2,    0
  4970,132728,19621214,   11,    0
  4970,132728,19621215,    0,    0
  4970,132728,19621216,    0,    0
  4970,132728,19621217,    8,    0
  4970,132728,19621218,    0,    0
  4970,132728,19621219,    0,    0
  4970,132728,19621220,    0,    0
  4970,132728,19621221,    0,    0
  4970,132728,19621222,   13,    0
  4970,132728,19621223,   70,    0
