EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 FG   : Wind speed in 0.1 m/s
30-34 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132736) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   FG, Q_FG
  4970,132736,19681222,-9999,    9
  4970,132736,19681223,-9999,    9
  4970,132736,19681224,-9999,    9
  4970,132736,19681225,-9999,    9
  4970,132736,19681226,-9999,    9
  4970,132736,19681227,-9999,    9
  4970,132736,19681228,-9999,    9
  4970,132736,19681229,-9999,    9
  4970,132736,19681230,-9999,    9
  4970,132736,19681231,-9999,    9
  4970,132736,19690101,   41,    0
  4970,132736,19690102,   54,    0
  4970,132736,19690103,   36,    0
  4970,132736,19690104,   11,    0
  4970,132736,19690105,   34,    0
  4970,132736,19690106,   37,    0
  4970,132736,19690107,   76,    0
  4970,132736,19690108,   14,    0
  4970,132736,19690109,   15,    0
  4970,132736,19690110,   45,    0
  4970,132736,19690111,   18,    0
  4970,132736,19690112,   50,    0
  4970,132736,19690113,   82,    0
  4970,132736,19690114,   52,    0
  4970,132736,19690115,   70,    0
  4970,132736,19690116,   61,    0
  4970,132736,19690117,   62,    0
  4970,132736,19690118,   69,    0
  4970,132736,19690119,   58,    0
  4970,132736,19690120,   24,    0
  4970,132736,19690121,   20,    0
  4970,132736,19690122,   23,    0
  4970,132736,19690123,   36,    0
  4970,132736,19690124,    5,    0
  4970,132736,19690125,   16,    0
  4970,132736,19690126,   44,    0
  4970,132736,19690127,   38,    0
  4970,132736,19690128,   51,    0
  4970,132736,19690129,   59,    0
  4970,132736,19690130,   60,    0
  4970,132736,19690131,   84,    0
  4970,132736,19690201,   47,    0
  4970,132736,19690202,   77,    0
  4970,132736,19690203,   39,    0
  4970,132736,19690204,   27,    0
  4970,132736,19690205,   23,    0
  4970,132736,19690206,   22,    0
  4970,132736,19690207,   60,    0
  4970,132736,19690208,   28,    0
  4970,132736,19690209,   61,    0
  4970,132736,19690210,   59,    0
  4970,132736,19690211,   42,    0
  4970,132736,19690212,   66,    0
  4970,132736,19690213,   27,    0
  4970,132736,19690214,   36,    0
  4970,132736,19690215,   53,    0
  4970,132736,19690216,   34,    0
  4970,132736,19690217,   27,    0
  4970,132736,19690218,   49,    0
  4970,132736,19690219,   45,    0
  4970,132736,19690220,   65,    0
  4970,132736,19690221,   54,    0
  4970,132736,19690222,   65,    0
  4970,132736,19690223,   48,    0
  4970,132736,19690224,   19,    0
  4970,132736,19690225,   29,    0
  4970,132736,19690226,   21,    0
  4970,132736,19690227,   20,    0
  4970,132736,19690228,   64,    0
  4970,132736,19690301,   53,    0
  4970,132736,19690302,   38,    0
  4970,132736,19690303,   63,    0
  4970,132736,19690304,   52,    0
  4970,132736,19690305,   83,    0
  4970,132736,19690306,   50,    0
  4970,132736,19690307,   25,    0
  4970,132736,19690308,   22,    0
  4970,132736,19690309,   33,    0
  4970,132736,19690310,   34,    0
  4970,132736,19690311,   50,    0
  4970,132736,19690312,   51,    0
  4970,132736,19690313,   63,    0
  4970,132736,19690314,   23,    0
  4970,132736,19690315,   38,    0
  4970,132736,19690316,   60,    0
  4970,132736,19690317,   53,    0
  4970,132736,19690318,   56,    0
  4970,132736,19690319,   47,    0
  4970,132736,19690320,   26,    0
  4970,132736,19690321,   54,    0
  4970,132736,19690322,   66,    0
  4970,132736,19690323,   41,    0
  4970,132736,19690324,   24,    0
  4970,132736,19690325,   41,    0
  4970,132736,19690326,   54,    0
  4970,132736,19690327,   47,    0
  4970,132736,19690328,   29,    0
  4970,132736,19690329,   18,    0
  4970,132736,19690330,   63,    0
  4970,132736,19690331,   85,    0
  4970,132736,19690401,   77,    0
  4970,132736,19690402,   27,    0
  4970,132736,19690403,   42,    0
  4970,132736,19690404,   53,    0
  4970,132736,19690405,   81,    0
  4970,132736,19690406,   73,    0
  4970,132736,19690407,   52,    0
  4970,132736,19690408,   44,    0
  4970,132736,19690409,   37,    0
  4970,132736,19690410,   25,    0
  4970,132736,19690411,   74,    0
  4970,132736,19690412,  100,    0
  4970,132736,19690413,   55,    0
  4970,132736,19690414,   36,    0
  4970,132736,19690415,   78,    0
  4970,132736,19690416,   80,    0
  4970,132736,19690417,   60,    0
  4970,132736,19690418,   58,    0
  4970,132736,19690419,   26,    0
  4970,132736,19690420,   33,    0
  4970,132736,19690421,   80,    0
  4970,132736,19690422,   60,    0
  4970,132736,19690423,   75,    0
  4970,132736,19690424,   56,    0
  4970,132736,19690425,   53,    0
  4970,132736,19690426,   63,    0
  4970,132736,19690427,   19,    0
  4970,132736,19690428,   20,    0
  4970,132736,19690429,   31,    0
  4970,132736,19690430,   47,    0
  4970,132736,19690501,   23,    0
  4970,132736,19690502,   53,    0
  4970,132736,19690503,   52,    0
  4970,132736,19690504,   21,    0
  4970,132736,19690505,   27,    0
  4970,132736,19690506,   44,    0
  4970,132736,19690507,   34,    0
  4970,132736,19690508,   32,    0
  4970,132736,19690509,   26,    0
  4970,132736,19690510,   43,    0
  4970,132736,19690511,   31,    0
  4970,132736,19690512,   21,    0
  4970,132736,19690513,   47,    0
  4970,132736,19690514,   48,    0
  4970,132736,19690515,   44,    0
  4970,132736,19690516,   73,    0
  4970,132736,19690517,   48,    0
  4970,132736,19690518,   54,    0
  4970,132736,19690519,   65,    0
  4970,132736,19690520,   37,    0
  4970,132736,19690521,   23,    0
  4970,132736,19690522,   21,    0
  4970,132736,19690523,   44,    0
  4970,132736,19690524,   55,    0
  4970,132736,19690525,   34,    0
  4970,132736,19690526,   46,    0
  4970,132736,19690527,   41,    0
  4970,132736,19690528,   41,    0
  4970,132736,19690529,   35,    0
  4970,132736,19690530,   49,    0
  4970,132736,19690531,   54,    0
  4970,132736,19690601,   42,    0
  4970,132736,19690602,   26,    0
  4970,132736,19690603,   59,    0
  4970,132736,19690604,   36,    0
  4970,132736,19690605,   51,    0
  4970,132736,19690606,   56,    0
  4970,132736,19690607,   40,    0
  4970,132736,19690608,   53,    0
  4970,132736,19690609,   49,    0
  4970,132736,19690610,   45,    0
  4970,132736,19690611,   56,    0
  4970,132736,19690612,   43,    0
  4970,132736,19690613,   23,    0
  4970,132736,19690614,   11,    0
  4970,132736,19690615,   17,    0
  4970,132736,19690616,   27,    0
  4970,132736,19690617,   45,    0
  4970,132736,19690618,   48,    0
