EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 HU   : Humidity in 1 %
30-34 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132735) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   HU, Q_HU
  4970,132735,19611008,   85,    0
  4970,132735,19611009,   80,    0
  4970,132735,19611010,   65,    0
  4970,132735,19611011,   80,    0
  4970,132735,19611012,   85,    0
  4970,132735,19611013,   82,    0
  4970,132735,19611014,   73,    0
  4970,132735,19611015,   77,    0
  4970,132735,19611016,   95,    0
  4970,132735,19611017,   92,    0
  4970,132735,19611018,   90,    0
  4970,132735,19611019,   94,    0
  4970,132735,19611020,   77,    0
  4970,132735,19611021,   74,    0
  4970,132735,19611022,   80,    0
  4970,132735,19611023,   91,    0
  4970,132735,19611024,   79,    0
  4970,132735,19611025,   93,    0
  4970,132735,19611026,   90,    0
  4970,132735,19611027,   87,    0
  4970,132735,19611028,   83,    0
  4970,132735,19611029,   91,    0
  4970,132735,19611030,   87,    0
  4970,132735,19611031,   90,    0
  4970,132735,19611101,   91,    0
  4970,132735,19611102,   86,    0
  4970,132735,19611103,   95,    0
  4970,132735,19611104,   88,    0
  4970,132735,19611105,   93,    0
  4970,132735,19611106,   96,    0
  4970,132735,19611107,   96,    0
  4970,132735,19611108,   91,    0
  4970,132735,19611109,   92,    0
  4970,132735,19611110,   89,    0
  4970,132735,19611111,   89,    0
  4970,132735,19611112,   87,    0
  4970,132735,19611113,   94,    0
  4970,132735,19611114,   95,    0
  4970,132735,19611115,   93,    0
  4970,132735,19611116,   91,    0
  4970,132735,19611117,   90,    0
  4970,132735,19611118,   80,    0
  4970,132735,19611119,   78,    0
  4970,132735,19611120,   69,    0
  4970,132735,19611121,   71,    0
  4970,132735,19611122,   69,    0
  4970,132735,19611123,   65,    0
  4970,132735,19611124,   97,    0
  4970,132735,19611125,   95,    0
  4970,132735,19611126,   91,    0
  4970,132735,19611127,   84,    0
  4970,132735,19611128,   95,    0
  4970,132735,19611129,   81,    0
  4970,132735,19611130,   96,    0
  4970,132735,19611201,   94,    0
  4970,132735,19611202,   81,    0
  4970,132735,19611203,   89,    0
  4970,132735,19611204,   91,    0
  4970,132735,19611205,   75,    0
  4970,132735,19611206,   81,    0
  4970,132735,19611207,   92,    0
  4970,132735,19611208,   78,    0
  4970,132735,19611209,   95,    0
  4970,132735,19611210,   95,    0
  4970,132735,19611211,   86,    0
  4970,132735,19611212,   95,    0
  4970,132735,19611213,   95,    0
  4970,132735,19611214,   94,    0
  4970,132735,19611215,   82,    0
  4970,132735,19611216,   62,    0
  4970,132735,19611217,   75,    0
  4970,132735,19611218,   69,    0
  4970,132735,19611219,   71,    0
  4970,132735,19611220,   88,    0
  4970,132735,19611221,   96,    0
  4970,132735,19611222,   92,    0
  4970,132735,19611223,   82,    0
  4970,132735,19611224,   73,    0
  4970,132735,19611225,   76,    0
  4970,132735,19611226,   86,    0
  4970,132735,19611227,   89,    0
  4970,132735,19611228,   96,    0
  4970,132735,19611229,   75,    0
  4970,132735,19611230,   86,    0
  4970,132735,19611231,   86,    0
  4970,132735,19620101,   81,    0
  4970,132735,19620102,   87,    0
  4970,132735,19620103,   72,    0
  4970,132735,19620104,   73,    0
  4970,132735,19620105,   93,    0
  4970,132735,19620106,   96,    0
