EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 SD   : Snow depth in 1 cm
30-34 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132731) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   SD, Q_SD
  4970,132731,19620128,    0,    0
  4970,132731,19620129,    0,    0
  4970,132731,19620130,    0,    0
  4970,132731,19620131,    0,    0
  4970,132731,19620201,    0,    0
  4970,132731,19620202,   12,    0
  4970,132731,19620203,   14,    0
  4970,132731,19620204,    9,    0
  4970,132731,19620205,    3,    0
  4970,132731,19620206,    0,    0
  4970,132731,19620207,    0,    0
  4970,132731,19620208,    0,    0
  4970,132731,19620209,    0,    0
  4970,132731,19620210,    0,    0
  4970,132731,19620211,    0,    0
  4970,132731,19620212,    0,    0
  4970,132731,19620213,    0,    0
  4970,132731,19620214,   12,    0
  4970,132731,19620215,   17,    0
  4970,132731,19620216,   18,    0
  4970,132731,19620217,    2,    0
  4970,132731,19620218,    1,    0
  4970,132731,19620219,    0,    0
  4970,132731,19620220,    0,    0
  4970,132731,19620221,    0,    0
  4970,132731,19620222,    0,    0
  4970,132731,19620223,    0,    0
  4970,132731,19620224,    0,    0
  4970,132731,19620225,    3,    0
  4970,132731,19620226,    0,    0
  4970,132731,19620227,    0,    0
  4970,132731,19620228,    0,    0
  4970,132731,19620301,    0,    0
  4970,132731,19620302,    1,    0
  4970,132731,19620303,    0,    0
  4970,132731,19620304,    4,    0
  4970,132731,19620305,   22,    0
  4970,132731,19620306,   26,    0
  4970,132731,19620307,   20,    0
  4970,132731,19620308,   18,    0
  4970,132731,19620309,   15,    0
  4970,132731,19620310,    0,    0
  4970,132731,19620311,    0,    0
  4970,132731,19620312,    0,    0
  4970,132731,19620313,    2,    0
  4970,132731,19620314,    4,    0
  4970,132731,19620315,    7,    0
  4970,132731,19620316,    4,    0
  4970,132731,19620317,    0,    0
  4970,132731,19620318,    1,    0
  4970,132731,19620319,    0,    0
  4970,132731,19620320,    0,    0
  4970,132731,19620321,    0,    0
  4970,132731,19620322,    0,    0
  4970,132731,19620323,    0,    0
  4970,132731,19620324,    0,    0
  4970,132731,19620325,    0,    0
  4970,132731,19620326,    0,    0
  4970,132731,19620327,    0,    0
  4970,132731,19620328,    0,    0
  4970,132731,19620329,    0,    0
  4970,132731,19620330,    0,    0
  4970,132731,19620331,    0,    0
  4970,132731,19620401,    0,    0
  4970,132731,19620402,    0,    0
  4970,132731,19620403,    0,    0
  4970,132731,19620404,    0,    0
  4970,132731,19620405,    0,    0
  4970,132731,19620406,    0,    0
  4970,132731,19620407,    0,    0
  4970,132731,19620408,    0,    0
  4970,132731,19620409,    0,    0
  4970,132731,19620410,    0,    0
  4970,132731,19620411,    0,    0
  4970,132731,19620412,    0,    0
  4970,132731,19620413,    0,    0
  4970,132731,19620414,    2,    0
  4970,132731,19620415,    4,    0
  4970,132731,19620416,    0,    0
  4970,132731,19620417,    0,    0
  4970,132731,19620418,    0,    0
  4970,132731,19620419,    0,    0
  4970,132731,19620420,    0,    0
  4970,132731,19620421,    0,    0
  4970,132731,19620422,    0,    0
  4970,132731,19620423,    0,    0
  4970,132731,19620424,    0,    0
  4970,132731,19620425,    0,    0
  4970,132731,19620426,    0,    0
  4970,132731,19620427,    0,    0
  4970,132731,19620428,    0,    0
  4970,132731,19620429,    0,    0
  4970,132731,19620430,    0,    0
  4970,132731,19620501,    0,    0
  4970,132731,19620502,    0,    0
  4970,132731,19620503,    0,    0
  4970,132731,19620504,    0,    0
  4970,132731,19620505,    0,    0
  4970,132731,19620506,    0,    0
  4970,132731,19620507,    0,    0
  4970,132731,19620508,    0,    0
  4970,132731,19620509,    0,    0
  4970,132731,19620510,    0,    0
  4970,132731,19620511,    0,    0
  4970,132731,19620512,    0,    0
  4970,132731,19620513,    0,    0
  4970,132731,19620514,    0,    0
  4970,132731,19620515,    0,    0
  4970,132731,19620516,    0,    0
  4970,132731,19620517,    0,    0
  4970,132731,19620518,    0,    0
  4970,132731,19620519,    0,    0
  4970,132731,19620520,    0,    0
  4970,132731,19620521,    0,    0
  4970,132731,19620522,    0,    0
  4970,132731,19620523,    0,    0
  4970,132731,19620524,    0,    0
  4970,132731,19620525,    0,    0
  4970,132731,19620526,    0,    0
  4970,132731,19620527,    0,    0
  4970,132731,19620528,    0,    0
  4970,132731,19620529,    0,    0
  4970,132731,19620530,    0,    0
  4970,132731,19620531,    0,    0
  4970,132731,19620601,    0,    0
  4970,132731,19620602,    0,    0
  4970,132731,19620603,    0,    0
  4970,132731,19620604,    0,    0
  4970,132731,19620605,    0,    0
  4970,132731,19620606,    0,    0
  4970,132731,19620607,    0,    0
  4970,132731,19620608,    0,    0
  4970,132731,19620609,    0,    0
  4970,132731,19620610,    0,    0
  4970,132731,19620611,    0,    0
