EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 CC   : Cloud cover in oktas
30-34 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132727) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   CC, Q_CC
  4970,132727,19610918,    0,    0
  4970,132727,19610919,    0,    0
  4970,132727,19610920,    1,    0
  4970,132727,19610921,    8,    0
  4970,132727,19610922,    3,    0
  4970,132727,19610923,    0,    0
  4970,132727,19610924,    1,    0
  4970,132727,19610925,    6,    0
  4970,132727,19610926,    4,    0
  4970,132727,19610927,    6,    0
  4970,132727,19610928,    7,    0
  4970,132727,19610929,    7,    0
  4970,132727,19610930,    7,    0
  4970,132727,19611001,    7,    0
  4970,132727,19611002,    8,    0
  4970,132727,19611003,    8,    0
  4970,132727,19611004,    5,    0
  4970,132727,19611005,    3,    0
  4970,132727,19611006,    5,    0
  4970,132727,19611007,    8,    0
  4970,132727,19611008,    4,    0
  4970,132727,19611009,    4,    0
  4970,132727,19611010,    2,    0
  4970,132727,19611011,    3,    0
  4970,132727,19611012,    2,    0
  4970,132727,19611013,    4,    0
  4970,132727,19611014,    1,    0
  4970,132727,19611015,    2,    0
  4970,132727,19611016,    8,    0
  4970,132727,19611017,    8,    0
  4970,132727,19611018,    7,    0
  4970,132727,19611019,    8,    0
  4970,132727,19611020,    4,    0
  4970,132727,19611021,    1,    0
  4970,132727,19611022,    6,    0
  4970,132727,19611023,    8,    0
  4970,132727,19611024,    5,    0
  4970,132727,19611025,    8,    0
  4970,132727,19611026,    8,    0
  4970,132727,19611027,    5,    0
  4970,132727,19611028,    5,    0
  4970,132727,19611029,    5,    0
  4970,132727,19611030,    4,    0
  4970,132727,19611031,    5,    0
  4970,132727,19611101,    7,    0
